"Country","Document","Year of Submission","HazardSystem","HazardPriority","HazardAction","HazardResult","SystemPriority","SystemAction","SystemResult","Ev_HazardSystem","Ev_HazardPriority","Ev_HazardAction","Ev_HazardResult","Ev_SystemPriority","Ev_SystemAction","Ev_SystemResult"
"Moldova","BTR",NA,1,1,0,1,1,1,1,"[4083 • System at risk] In 2020 and 2022, a persistent lack of precipitation affected large parts of the RoM, together with higher-thanaverage temperatures, lead to a severe-to-extreme drought with highest registered negativ…","[4174 • Adaptation priorities] Development of varieties and hybrids resistant to drought and heat",NA,"[4167 • Result] From the 50 thousand ha of land envisaged to be protected by robust anti-erosion strips as provided in the Action Plan, over the 2013-2018 period, protected agricultural area increased by only 1,020 h…","[4160 • Adaptation priorities] Supporting use of renewable energy sources within agricultural holdings, including use of plant residue and animal waste","[4162 • Action] The program of measures of the first cycle of the Dniester River Basin District Management Plan (2017-2022)155 focuses on improving the legal and informational framework in the field of water, but als…","[4163 • Result] The program of measures of the first cycle of the Dniester River Basin District Management Plan (2017-2022)155 focuses on improving the legal and informational framework in the field of water, but als…"
"Monaco","BTR",2025,1,1,1,0,1,1,1,"[6359 • System at risk] The increasing presence of Aedes mosquitoes, vectors of diseases such as dengue and chikungunya, is another manifestation of climate impacts. These Mosquitoes proliferate in warmer and more humid clim…","[6448 • Adaptation priorities] To protect the population from the effects of extreme heat","[6435 • Action] Development of two urban heat networks",NA,"[6430 • Adaptation priorities] Implementation of subsidies and labels for encourage energy audits of buildings.","[6452 • Action] In 2017, in order to support the Principality's energy transition towards its autonomy by 2025, the Prince's Government and SMEG have created the MER company. This initiative aims to diversify the sou…","[6453 • Result] In 2022, nearly 77% of Monaco's electricity consumption came from sources renewables, with MER playing a central role in this evolution."
"Montenegro","BTR",2024,1,1,0,0,1,1,0,"[3540 • System at risk] Reducing precipitation reduces the available water and reduces its level in coastal wetlands, while on the other hand, flooding leads to significant economic damage and intensifies erosion processes","[3549 • Adaptation priorities] A number of technical measures were also taken to protect against sea level rise and control erosion, as well as to improve the system of early warning and warnings of floods and storms",NA,NA,"[3564 • Adaptation priorities] Improvement of the planning process and improvement and development of water supply and sewerage system infrastructure","[3594 • Action] A proposal for the Forest and Forestry Development Strategy of Montenegro for the period 2025-2030 was drafted. This Strategy defines the conservation and strengthening of forests' capacity for resili…",NA
"Morocco","BTR",2024,1,1,0,1,1,1,1,"[6940 • System at risk] Landslides could cause damage to structures and infrastructure, disrupt waterways with displaced materials, affect the quality and water availability, and alter the geological structure of the subsoil…","[6944 • Adaptation priorities] Sustainable management of water resources: Water management is essential to make in the face of the scarcity of water resources, aggravated by droughts and climate change. This involves adopting water…",NA,"[6965 • Result] Implementation of an integrated pilot system to support flood risk management in four pilot areas, including the city of Mohammedia, the Province of Kenitra, the Ourika Valley and the province of Guel…","[6944 • Adaptation priorities] Sustainable management of water resources: Water management is essential to make in the face of the scarcity of water resources, aggravated by droughts and climate change. This involves adopting water…","[6969 • Action] Extension of irrigation","[6965 • Result] Implementation of an integrated pilot system to support flood risk management in four pilot areas, including the city of Mohammedia, the Province of Kenitra, the Ourika Valley and the province of Guel…"
"Namibia","BTR",2024,1,1,0,1,1,0,1,"[894 • System at risk] Reduced and inconsistent rainfall has led to prolonged droughts, severely affecting crop yields and pasture availability. Conversely, occasional intense rainfall events have caused flooding, soil eros…","[987 • Adaptation priorities] Improve disease management",NA,"[1008 • Result] In agriculture, climate-smart farming practices introduced through internationally supported projects have shown promise in improving crop yields and enhancing food security in areas affected by droug…","[989 • Adaptation priorities] Education, training and public awareness",NA,"[1008 • Result] In agriculture, climate-smart farming practices introduced through internationally supported projects have shown promise in improving crop yields and enhancing food security in areas affected by droug…"
"Nepal","BTR",2025,1,1,1,1,1,1,1,"[3898 • System at risk] Rural and urban settlements face heightened risks from floods, landslides, and extreme weather, worsened by unplanned urbanization and inadequate infrastructure.","[3919 • Adaptation priorities] Disaster Preparedness: Reducing community vulnerability to floods, landslides, and extreme weather.","[4036 • Action] Updated building codes for seismic and flood-resilient infrastructure","[3998 • Result] 66 flood warning systems operational across major river basins","[4023 • Adaptation priorities] Improving Resilience of Water Supply Infrastructure","[4027 • Action] Development of the Bipad Portal: A disaster management information system consolidating hazard, risk, and vulnerability data.","[4024 • Result] 88% of households has sufficient water availability."
"Nigeria","BTR",2024,0,1,0,0,1,0,0,NA,"[1015 • Adaptation priorities] Increase access to drought resistant crops and livestock feeds; adopt better management practices.",NA,NA,"[1017 • Adaptation priorities] Intensify programmes to survey water quality and quantity for both ground and surface water",NA,NA
"Norway","BTR",2025,1,1,1,0,1,1,0,"[3660 • System at risk] More precipitation, especially over short periods of time, increases the risk of stormwater and of more frequent and extensive rainwater flooding. Periods of heavy precipitation may result in more lan…","[3680 • Adaptation priorities] Handling stormwater in cities and towns","[3699 • Action] As a follow-up on the measures proposed in the Storm Water report presented in 2015 (NOU 2015: 16), the Government has made changes in the Planning and Building Act regarding regulation for stormwater…",NA,"[3684 • Adaptation priorities] Safeguard Sami interests and use indigenous peoples’ knowledge in climate change adaptation efforts","[3689 • Action] The web-based information portal klimatilpasning.no was established in 2008. The portal supports the Norwegian society in preparing for the consequences of climate change.",NA
"Panama","BTR",2024,1,1,0,0,1,0,0,"[6603 • System at risk] Risk of drought and alteration of the hydrological regime","[6650 • Adaptation priorities] Implement measures to protect public health climate impacts, such as waves of heat, transmitted diseases by vectors and climatic events extremes.",NA,NA,"[6639 • Adaptation priorities] By 2025, an agroclimatic information system will have been created for the Agricultural Sector, from the establishment of hydro and agrometeorological stations, a climate data center and the launching…",NA,NA
"Paraguay","BTR",2024,1,1,1,0,1,1,1,"[6717 • System at risk] Wetlands, such as those of the Pantanal and the riparian areas of the Paraguay River, are particularly at risk due to prolonged droughts. These ecosystems are home to a large number of endemic species…","[6735 • Adaptation priorities] It is still necessary to advance in research for development of varieties of agricultural species and improved forestry genetics, with greater tolerance to droughts and climatic variability","[6723 • Action] Efforts are being made to have an analysis of the vulnerability of the health system front to climate risks more relevant, such as waves of heat, droughts, intense rains, floods and storms, identifyin…",NA,"[6735 • Adaptation priorities] It is still necessary to advance in research for development of varieties of agricultural species and improved forestry genetics, with greater tolerance to droughts and climatic variability","[6725 • Action] Progress is highlighted significant in forest restoration and service training environmental, integrating transverse axes such as the participation of indigenous people.","[6751 • Result] Advances in the installation of systems for water and transport monitoring."
"Peru","BTR",2024,1,1,1,1,1,1,1,"[6763 • Hazard] For precipitation, the scenario projects an annual reduction in most of the national territory, with the exception of the north coast, where there would be an increase in intensity in the range of 30 …","[6813 • Adaptation priorities] Reduce the vulnerability of the population to the dangers associated with climate change through: (i) access to epidemiological information that incorporates climate scenarios; and ii) the transfer of…","[6843 • Action] Integrated pest and disease management in crops and preventive management of diseases in breeding, with greater vulnerability to climate change.","[6839 • Result] Guano is offered at a social price, mainly to small farmers and native communities to contribute to resilience and agricultural sustainability in the face of pests and extreme weather events.","[6814 • Adaptation priorities] Adapt health services to the occurrence of hazards associated with change climate change through the implementation of preventive and response strategies, in such a way that health coverage and servic…","[6843 • Action] Integrated pest and disease management in crops and preventive management of diseases in breeding, with greater vulnerability to climate change.","[6836 • Result] Of the 37 reporting EPS, 3 have a valid approved PMACC, 5 are in the process of being formulated, and 7 are being updated. In addition, 23 EPS have planned to formulate or update their PMACCs in 2024;…"
"Phillipines","BTR",NA,1,1,0,0,1,0,0,"[1097 • System at risk] The financial ramifications of the 2020 tropical cyclone season were significant. Damage to infrastructure and agriculture totaled USD 891.14 million (PHP 44.22 billion), with infrastructure bearing t…","[1131 • Adaptation priorities] Strengthen water, sanitation, and hygiene (WASH) protocols and prioritize access to health services in post-disaster and makeshift areas. Enhance and expand concrete actions to improve WASH, while ens…",NA,NA,"[1104 • Adaptation priorities] Strengthen infrastructure resilience. All critical infrastructure must be strengthened to withstand the impacts of climate change and its extremes and to ensure the sustainability of the systems cruci…",NA,NA
"Poland","BTR",2024,1,1,1,1,1,1,1,"[3733 • System at risk] When wind strength increases, storms may occur on the Baltic Sea, causing coastal damage (cliff subsidence, beach loss, damage to biotechnical buildings) and flooding at river mouths caused by backwat…","[3796 • Adaptation priorities] Improving flood protection through the implementation of both non-technical and technical investments","[3804 • Action] Investments contributing to the protection of the environment and the climate (watering holes for animals, installations to improve ventilation or lower the temperature in livestock buildings, hail ne…","[3850 • Result] Flood hazard maps and flood risk maps as well as flood risk management plans (FRMP) have been developed to reduce the potential negative impacts of floods","[3797 • Adaptation priorities] Taking measures to ensure that Polish citizens have access to healthy, cheap drinking water","[3808 • Action] Implementation of ecoschemes: (carbon farming and nutrient management, water retention on permanent grassland, land taken out of production, including land taken out of production involving establishe…","[3845 • Result] The extent to which climate change adaptation has been integrated into the actions of the different sectors varies widely. Most action has been taken at government level in the energy and environment …"
"Portugal","BTR",2024,1,1,0,0,1,1,0,"[4212 • System at risk] The rise in temperature and the prolonged periods of drought are also likely to be responsible for the increase in the number of rural fires, especially the number of large forest fires (>= 10,000 ha)…","[4266 • Adaptation priorities] In addition to fire protection measures, the region has been carrying out remedial work on river basins, especially in areas with a higher risk of erosion and landslides, strengthening the protection …",NA,NA,"[4266 • Adaptation priorities] In addition to fire protection measures, the region has been carrying out remedial work on river basins, especially in areas with a higher risk of erosion and landslides, strengthening the protection …","[4265 • Action] In an area previously occupied by highly flammable species such as eucalyptus and acacia, more fireresistant native species have been planted, helping to restore biodiversity and create a more fireres…",NA
"Russia","BTR",NA,1,0,0,0,1,1,0,"[7011 • System at risk] The impact of climatic factors on the healthcare system in the Russian Federation includes the impact on the health of the population, the level of morbidity and mortality (negative impact on the cour…",NA,NA,NA,"[7066 • Adaptation priorities] Timely identification and assessment of climate change-related threats to sustainable development development and security of the Russian Federation, including threats to defense capability, the econo…","[7067 • Action] A methodological base in the field of adaptation has been formed, including a unified methodology for assessing climate risks, ranking measures for adaptation to these risks, and development of adapta…",NA
"Rwanda","BTR",2024,1,1,0,1,1,1,1,"[42 • System at risk] Damage to crops, roads, and agricultural infrastructure; degraded agricultural lands; and loss of livestock from heavy rainfall, flooding, landslides, and soil erosion","[85 • Adaptation priorities] Disease prevention, diagnostic, surveillance and control",NA,"[102 • Result] From 2018 to 2023, Rwanda's agriculture sector achieved significant progress in adaptation activities, particularly through the adoption of improved agricultural practices such as soil erosion control…","[83 • Adaptation priorities] Developing climate-resilient crops and promoting climate-resilient livestock","[73 • Action] In 2023, GIZ in partnership with MoE initiated a new template ‘’ Rwanda NDC Finance Flow’ to track the information on financial flows for mitigation and adaptation initiative in Rwanda. The tool allow…","[98 • Result] Promoting climate-smart agriculture (support watershed management, agricultural inputs including improved climate resilience seeds, compost fertilisers and capacity building for farmers)"
"Serbia","BTR",2024,1,1,0,0,1,0,1,"[4295 • System at risk] More than half of the areas reforested between 2019 and 2022, whose afforestation was founded through subsidies by the Forestry Directorate, have withered due to unfavourable weather conditions (water…","[4323 • Adaptation priorities] Increasing the total amount of subsidies for anti-hail nets, shading nets, and frost protection systems, as well as for the construction and adjustment of facilities for livestock housing to address i…",NA,NA,"[4294 • Adaptation priorities] Adopting new practices in agricultural sector is necessary to increase resilience to climate change and mitigate negative impacts on soil, water and air",NA,"[4387 • Result] Preparation of Scientific Reports: Between 2020 and 2022, specialized reports were developed on climate change impacts, sectoral vulnerabilities and risks, and gaps, providing recommendations for next…"
"Seychelles","BTR",2025,1,1,1,1,1,1,1,"[3295 • System at risk] From a social and environmental perspective, many communities in Seychelles rely on healthy coastal ecosystems for fishing and tourism, and climate-induced degradation threatens these livelihoods. The…","[3322 • Adaptation priorities] Establishing permanent monitoring plots to track invasive species and climate indicators","[3212 • Action] In response to escalating flood risks, the Flood Free Seychelles initiative was launched in 2022 as a critical extension of the Flood Free Victoria Project.","[3267 • Result] Several farmers have successfully diversified their production systems, incorporating agroforestry approaches that provide better resilience against both climate extremes and emerging pest pressures.","[3324 • Adaptation priorities] The incorporation of advanced technologies (e.g., use of passive acoustic monitoring devices, miniature trackers, thermal cameras) for biodiversity monitoring would significantly enhance these efforts","[3308 • Action] The small island nation is developing a robust policy framework, anchored on the draft Blue Carbon Policy (2024), which provides comprehensive guidance for conserving these ecosystems while creating a…","[3213 • Result] The raising of the La Gogue Dam has increased its storage capacity by 60%."
"Slovakia","BTR",2024,1,0,0,0,1,0,0,"[4527 • System at risk] Summer tourism in the southern parts of the Slovak Republic : drought may affect summer water sports",NA,NA,NA,"[4565 • Adaptation priorities] Raising public awareness and building knowledge for adaptation: • Promote public-private dialogue and awareness, training and education. • Establish an official web portal among others for verified in…",NA,NA
"Slovenia","BTR",2025,1,1,1,0,1,1,0,"[4590 • System at risk] An additional risk is the rise of ""flash droughts"" in summer, which rapidly develop during heatwaves and severely impact crop yields.","[4606 • Adaptation priorities] Expanding flood protection","[4624 • Action] Several new projects are currently under way, including the construction of 1.2 km of forest fire roads, 40.4 km of fire-break paths, four helicopter landing areas for emergency response outside airpo…",NA,"[4605 • Adaptation priorities] Improving water resource management","[4624 • Action] Several new projects are currently under way, including the construction of 1.2 km of forest fire roads, 40.4 km of fire-break paths, four helicopter landing areas for emergency response outside airpo…",NA
"South Africa","BTR",2024,1,1,1,1,1,1,1,"[8516 • Hazard] Further evidence shows that South Africa has been warming at 1.5-times the global warming rate (Wolski, P. 2019).","[8705 • Adaptation priorities] Early Warning Systems and Surveillance: • Strategy: Develop and implement early warning systems for extreme weather events, vector-borne diseases, and heatwaves","[8669 • Action] • Research and innovation: The ARC together with academia and other research institutions in South Africa is investing in research and development to create climate-resilient crop varieties, livestock…","[8685 • Result] Act No. 13 of 2023: National Veld and Forest Fire Amendment, Act 2023.","[8657 • Adaptation priorities] Intervention 5 of the NCCAS aims to “promote research application, technology development, transfer and adoption to support planning and implementation” to deliver “increased research output and techn…","[8507 • Action] The National Climate Change Adaptation Strategy (NCCAS) serves as the country’s National Adaptation Plan (NAP). It outlines a vision for adapting to and building climate resilience against climate cha…","[8673 • Result] • Draft Conservation Agriculture Policy (2022): To promote and establish ecologically and economically sustainable agricultural systems to increase food security. The draft Conservation Agriculture Po…"
"Spain","BTR",2024,1,0,0,0,1,1,0,"[7083 • System at risk] Climate change alters the behavior and distribution of species, affecting the the risk of forest fires, affecting air quality. Furthermore, climate change favors stable atmospheric conditions that hin…",NA,NA,NA,"[7113 • Adaptation priorities] A gender perspective","[7117 • Action] To facilitate monitoring the implementation of the measures contained in the Work Programs, a system of tracking sheets has been developed that allows for the structured collection of all relevant inf…",NA
"Sweden","BTR",2024,1,0,0,0,0,0,0,"[4656 • System at risk] Göta River, the largest river in Sweden, with its surrounding river basin is very vulnerable to erosion and landslides. In the past, catastrophic events have occurred along the river. As the risk of l…",NA,NA,NA,NA,NA,NA
"Tajikistan","BTR",2024,1,1,0,0,1,0,0,"[5507 • System at risk] Tajikistan’s industrial sector, and especially mining activities, are vulnerable to geological phenomena such as landslides, earthquakes and rockfalls, as well as hydrometeorological phenomena such as…","[5514 • Adaptation priorities] To develop drought monitoring and early warning systems, the Hydrometeorology Agency of the Committee for Environmental Protection under the Government of the Republic Tajikistan is preparing measures…",NA,NA,"[5514 • Adaptation priorities] To develop drought monitoring and early warning systems, the Hydrometeorology Agency of the Committee for Environmental Protection under the Government of the Republic Tajikistan is preparing measures…",NA,NA
"Thailand","BTR",2024,1,1,1,1,1,1,1,"[8256 • System at risk] In recent years, storms, droughts, and floods have damaged thousands of square kilometers of agricultural land, causing significant financial losses. Storms affected 1,178.91 km² in 2022, droughts aff…","[8282 • Adaptation priorities] How to capture Table 4.2 in Thailand's BTR?","[8286 • Action] Flood and Inundation Management: Seeks to mitigate damages from floods and climate change by improving 1,978.14 km of waterways, protecting 380 urban areas, managing 13 flood-prone zones, supporting e…","[8313 • Result] Thailand has adopted the Payment for Ecosystem Services (PES) principle to assign economic value to the country’s natural resources. This initiative benefits communities responsible for conserving pro…","[8253 • Adaptation priorities] NAP identified 6 priority areas: water resources management, agriculture and food security, tourism, public health, natural resources management, and human settlements and security","[8283 • Action] 20-year Master Plan on Water Resources Management (Phase 1 Adjustment, 2023–2037)","[8313 • Result] Thailand has adopted the Payment for Ecosystem Services (PES) principle to assign economic value to the country’s natural resources. This initiative benefits communities responsible for conserving pro…"
"Tunisia","BTR",2024,0,1,0,0,1,0,0,NA,"[7141 • Adaptation priorities] Strengthen the disease surveillance climate-sensitive and develop early detection capacity and early warning of phenomena with potential epidemic",NA,NA,"[7138 • Adaptation priorities] Strengthening the adaptation capacities of tourism stakeholders through knowledge development, education and training.",NA,NA
"Türkiye","BTR",NA,1,1,1,1,1,1,1,"[7842 • System at risk] the water resources in Türkiye are highly vulnerable to climate change impacts, particularly drought and heavy precipitation. The findings from the vulnerability and risk assessment show that drought …","[7896 • Adaptation priorities] A central feature is the preparation of Local Climate Change Action Plans for pilot cities, which include strategies to mitigate climate-related risks such as floods and heatwaves, directly contributi…","[7919 • Action] To address the increasing frequency and severity of droughts, Türkiye has developed Drought Management Plans for all 25 river basins. These plans, launched by DGWM and completed in 2023, provide a com…","[7927 • Result] Complementing this effort, Flood Management Plans have been developed for all 25 basins, focusing on minimizing flood impacts through legal frameworks and detailed flood hazard maps. Flood hazard and …","[7898 • Adaptation priorities] This project supports Türkiye's national priorities by focusing on key areas such as water management, disaster risk reduction, and sustainable urban development.","[7899 • Action] This project supports Türkiye's national priorities by focusing on key areas such as water management, disaster risk reduction, and sustainable urban development.","[7909 • Result] One of the most comprehensive initiatives in this regard is the Climate Change Impact on Water Resources Project, launched by DGWM in 2013 and completed in 2016. This project assesses the impact of cl…"
"USA","BTR",NA,1,0,0,0,0,0,0,"[7408 • System at risk] Critical ocean habitats, like California’s kelp forests and Florida’s coral reefs, have declined by 90 percent in less than 10 years due to above normal ocean temperatures and increased ocean acidific…",NA,NA,NA,NA,NA,NA
"Uruguay","BTR",2024,1,0,1,0,1,0,0,"[7204 • System at risk] During the summer seasons, significant droughts occur in the country, often intensified by the La Niña phenomenon, affecting the agricultural and livestock sectors, both of great importance in the Uru…",NA,"[7166 • Action] From the beginning of 2023 to the present, the Uruguayan Institute of Meteorology (INUMET) issued 181,592 weather warnings, of which 0.17% correspond to red warnings and 29.31% to orange. Of these war…",NA,"[7223 • Adaptation priorities] Reduce the impacts of climate change on socio-ecological systems; reducing losses and damages in the various productive areas and sectors, through the implementation of climate change adaptation actio…",NA,NA
"Uzbekistan","BTR",2024,1,1,0,0,1,0,0,"[7243 • System at risk] Incremental change in climate and precipitation regime precipitation (increased extreme precipitation) increases the risk the occurrence of landslides, which results in the washing away of the upper f…","[7294 • Adaptation priorities] Creation of green spaces on 600 thousand hectares of area - protective forest plantations as measures against desertification, drought, dust storms and rising temperatures;",NA,NA,"[7304 • Adaptation priorities] In 2023, a new financing system for the implementation of water-saving measures was adopted in agriculture in Uzbekistan. For clusters and farms, a 5-year preferential credit line with a two-year gra…",NA,NA
"Vanuatu","BTR",2024,1,1,0,0,1,1,0,"[4780 • System at risk] Rising sea levels, coastal erosion, and environmental degradation threaten beaches and dive sites, reducing the sector’s appeal.","[4901 • Adaptation priorities] Repair and maintain airports post-cyclones; ensure backup power systems.",NA,NA,"[4896 • Adaptation priorities] Modify and elevate roads, use sandbags, and implement rapid clean-up responses.","[4808 • Action] The government has also promoted renewable energy initiatives like the National Green Energy Fund to enhance energy access, especially in rural areas.",NA
"Venezuela","BTR",2024,1,0,0,0,0,0,0,"[7345 • System at risk] Extreme temperatures increase the incidence of stillbirths which, added to the variations in bioclimatic variables, favor the spread of diseases transmitted by vectors, such as malaria, dengue and Zik…",NA,NA,NA,NA,NA,NA
"Zimbabwe","BTR",2024,1,0,0,0,1,0,0,"[7440 • System at risk] Periods of intense rainfall leading to flooding, can also cause extensive damage to water infrastructure",NA,NA,NA,"[7510 • Adaptation priorities] Develop, implement and scale-up climate smart agriculture solutions and strengthen the resilience of agricultural value chains and markets",NA,NA
